Twitter: number of monthly active users 2010-2019,
Number of monthly active Twitter users worldwide from 1st quarter 2010 to 1st quarter 2019 (in millions),
Q1:2010,30
Q2:2010,40
Q3:2010,49
Q4:2010,54
Q1:2011,68
Q2:2011,85
Q3:2011,101
Q4:2011,117
Q1:2012,138
Q2:2012,151
Q3:2012,167
Q4:2012,185
Q1:2013,204
Q2:2013,218
Q3:2013,231.7
Q4:2013,241
Q1:2014,255
Q2:2014,271
Q3:2014,284
Q4:2014,288
Q1:2015,302
Q2:2015,304
Q3:2015,307
Q4:2015,305
Q1:2016,310
Q2:2016,313
Q3:2016,317
Q4:2016,318
Q1:2017,327
Q2:2017,326
Q3:2017,330
Q4:2017,330
Q1:2018,336
Q2:2018,335
Q3:2018,326
Q4:2018,321
Q1:2019,330
